Warning: log contains only data that is read by python using read_line. If read_line is not called, data will not be logged! 
 ### Serial Log ### 
[2023-09-30 20:42:53.413641] OUT: reboot
[2023-09-30 20:42:54.436850] IN: LightSoak CLI started.
[2023-09-30 20:42:54.436917] IN: Firmware version: 1.0.41
[2023-09-30 20:42:54.439802] IN: FW compiled: Sep 30 2023 20:42:08
[2023-09-30 20:42:54.439876] IN: -----------------------------
[2023-09-30 20:42:54.442743] IN: Type help to list all commands.
[2023-09-30 20:42:54.445749] IN: Type <cmd> -h to get help for a specific command.
[2023-09-30 20:42:54.447723] IN: Add -sched ### argument to schedule command at specific time
[2023-09-30 20:42:54.450670] IN: See https://github.com/mrmp17/LightSoakFW-STM for more info.
[2023-09-30 20:42:54.453747] IN: See https://github.com/mrmp17/LightSoakFW-Python for data logging python interface.
[2023-09-30 20:42:54.453832] IN: -----------------------------
[2023-09-30 20:42:54.453854] IN: READY
[2023-09-30 20:42:54.453882] OUT: setbaud -b 2000000
[2023-09-30 20:42:54.636603] OUT: ready?
[2023-09-30 20:42:54.637105] IN: ready?
[2023-09-30 20:42:54.637221] IN: READY
[2023-09-30 20:42:54.637257] OUT: getledtemp
[2023-09-30 20:42:54.637744] IN: >> getledtemp
[2023-09-30 20:42:54.650327] IN: LEDTEMP:
[2023-09-30 20:42:54.662964] IN: TIME:1206062
[2023-09-30 20:42:54.675611] IN: TEMP:23.250000
[2023-09-30 20:43:29.349849] OUT: resettimestamp
[2023-09-30 20:43:29.350125] OUT: calibillum -illum 1.0 -i 1.0 -sched 10000000
[2023-09-30 20:43:29.350257] IN: >>
[2023-09-30 20:43:29.362793] IN: LEDTEMP:
[2023-09-30 20:43:29.373804] IN: TIME:2010280
[2023-09-30 20:43:29.386674] IN: TEMP:23.250000
[2023-09-30 20:43:29.409731] IN: LEDTEMP:
[2023-09-30 20:43:29.421587] IN: TIME:3011280
[2023-09-30 20:43:29.434550] IN: TEMP:23.250000
[2023-09-30 20:43:29.459120] IN: LEDTEMP:
[2023-09-30 20:43:29.459386] IN: TIME:4012280
[2023-09-30 20:43:29.459675] IN: TEMP:23.250000
[2023-09-30 20:43:29.459965] IN: LEDTEMP:
[2023-09-30 20:43:29.460176] IN: TIME:5013280
[2023-09-30 20:43:29.460409] IN: TEMP:23.250000
[2023-09-30 20:43:29.485630] IN: LEDTEMP:
[2023-09-30 20:43:29.485826] IN: TIME:6014280
[2023-09-30 20:43:29.485984] IN: TEMP:23.250000
[2023-09-30 20:43:29.500073] IN: LEDTEMP:
[2023-09-30 20:43:29.500214] IN: TIME:7015280
[2023-09-30 20:43:29.500337] IN: TEMP:23.312500
[2023-09-30 20:43:29.515598] IN: LEDTEMP:
[2023-09-30 20:43:29.515720] IN: TIME:8016280
[2023-09-30 20:43:29.515822] IN: TEMP:23.250000
[2023-09-30 20:43:29.531804] IN: LEDTEMP:
[2023-09-30 20:43:29.531949] IN: TIME:9017280
[2023-09-30 20:43:29.532073] IN: TEMP:23.250000
[2023-09-30 20:43:29.547427] IN: LEDTEMP:
[2023-09-30 20:43:29.547586] IN: TIME:10018280
[2023-09-30 20:43:29.547726] IN: TEMP:23.250000
[2023-09-30 20:43:29.562795] IN: LEDTEMP:
[2023-09-30 20:43:29.562909] IN: TIME:11019280
[2023-09-30 20:43:29.563011] IN: TEMP:23.250000
[2023-09-30 20:43:29.580696] IN: LEDTEMP:
[2023-09-30 20:43:29.580814] IN: TIME:12020280
[2023-09-30 20:43:29.581001] IN: TEMP:23.250000
[2023-09-30 20:43:29.597333] IN: LEDTEMP:
[2023-09-30 20:43:29.597453] IN: TIME:13021280
[2023-09-30 20:43:29.597557] IN: TEMP:23.250000
[2023-09-30 20:43:29.610312] IN: LEDTEMP:
[2023-09-30 20:43:29.610367] IN: TIME:14022280
[2023-09-30 20:43:29.610415] IN: TEMP:23.250000
[2023-09-30 20:43:29.626386] IN: LEDTEMP:
[2023-09-30 20:43:29.626462] IN: TIME:15023280
[2023-09-30 20:43:29.626528] IN: TEMP:23.250000
[2023-09-30 20:43:29.642347] IN: LEDTEMP:
[2023-09-30 20:43:29.642422] IN: TIME:16024280
[2023-09-30 20:43:29.642488] IN: TEMP:23.250000
[2023-09-30 20:43:29.659205] IN: LEDTEMP:
[2023-09-30 20:43:29.659349] IN: TIME:17025280
[2023-09-30 20:43:29.659473] IN: TEMP:23.250000
[2023-09-30 20:43:29.674675] IN: LEDTEMP:
[2023-09-30 20:43:29.674795] IN: TIME:18026280
[2023-09-30 20:43:29.674903] IN: TEMP:23.250000
[2023-09-30 20:43:29.691273] IN: LEDTEMP:
[2023-09-30 20:43:29.691449] IN: TIME:19027280
[2023-09-30 20:43:29.691607] IN: TEMP:23.250000
[2023-09-30 20:43:29.708194] IN: LEDTEMP:
[2023-09-30 20:43:29.708426] IN: TIME:20028280
[2023-09-30 20:43:29.708789] IN: TEMP:23.250000
[2023-09-30 20:43:29.722527] IN: LEDTEMP:
[2023-09-30 20:43:29.722638] IN: TIME:21029280
[2023-09-30 20:43:29.722740] IN: TEMP:23.250000
[2023-09-30 20:43:29.739323] IN: LEDTEMP:
[2023-09-30 20:43:29.739457] IN: TIME:22030280
[2023-09-30 20:43:29.739580] IN: TEMP:23.250000
[2023-09-30 20:43:29.754947] IN: LEDTEMP:
[2023-09-30 20:43:29.755083] IN: TIME:23031280
[2023-09-30 20:43:29.755332] IN: TEMP:23.250000
[2023-09-30 20:43:29.772186] IN: LEDTEMP:
[2023-09-30 20:43:29.772371] IN: TIME:24032280
[2023-09-30 20:43:29.772529] IN: TEMP:23.250000
[2023-09-30 20:43:29.787842] IN: LEDTEMP:
[2023-09-30 20:43:29.788073] IN: TIME:25033280
[2023-09-30 20:43:29.788301] IN: TEMP:23.250000
[2023-09-30 20:43:29.803895] IN: LEDTEMP:
[2023-09-30 20:43:29.804125] IN: TIME:26034280
[2023-09-30 20:43:29.804341] IN: TEMP:23.250000
[2023-09-30 20:43:29.819230] IN: LEDTEMP:
[2023-09-30 20:43:29.819407] IN: TIME:27035280
[2023-09-30 20:43:29.819572] IN: TEMP:23.250000
[2023-09-30 20:43:29.835306] IN: LEDTEMP:
[2023-09-30 20:43:29.835541] IN: TIME:28036280
[2023-09-30 20:43:29.835756] IN: TEMP:23.250000
[2023-09-30 20:43:29.852209] IN: LEDTEMP:
[2023-09-30 20:43:29.852440] IN: TIME:29037280
[2023-09-30 20:43:29.852709] IN: TEMP:23.250000
[2023-09-30 20:43:29.868165] IN: LEDTEMP:
[2023-09-30 20:43:29.868397] IN: TIME:30038280
[2023-09-30 20:43:29.868619] IN: TEMP:23.250000
[2023-09-30 20:43:29.884987] IN: LEDTEMP:
[2023-09-30 20:43:29.885174] IN: TIME:31039280
[2023-09-30 20:43:29.885373] IN: TEMP:23.250000
[2023-09-30 20:43:29.899634] IN: LEDTEMP:
[2023-09-30 20:43:29.899766] IN: TIME:32040280
[2023-09-30 20:43:29.899921] IN: TEMP:23.250000
[2023-09-30 20:43:29.915427] IN: LEDTEMP:
[2023-09-30 20:43:29.915557] IN: TIME:33041280
[2023-09-30 20:43:29.915681] IN: TEMP:23.250000
[2023-09-30 20:43:29.932278] IN: LEDTEMP:
[2023-09-30 20:43:29.932467] IN: TIME:34042280
[2023-09-30 20:43:29.932625] IN: TEMP:23.250000
[2023-09-30 20:43:29.948587] IN: LEDTEMP:
[2023-09-30 20:43:29.948816] IN: TIME:35043280
[2023-09-30 20:43:29.949032] IN: TEMP:23.250000
[2023-09-30 20:43:29.964596] IN: resettimestamp
[2023-09-30 20:43:29.965268] IN: >> calibillum -illum 1.0 -i 1.0 -sched 10000000
[2023-09-30 20:43:29.965415] IN: SCHED_OK
[2023-09-30 20:43:29.965492] IN: >>
[2023-09-30 20:43:29.965633] IN: LEDTEMP:
[2023-09-30 20:43:29.965813] IN: TIME:125596
[2023-09-30 20:43:29.966064] IN: TEMP:23.250000
[2023-09-30 20:43:30.477203] IN: LEDTEMP:
[2023-09-30 20:43:30.477340] IN: TIME:1126596
[2023-09-30 20:43:30.477455] IN: TEMP:23.187500
[2023-09-30 20:43:31.478288] IN: LEDTEMP:
[2023-09-30 20:43:31.478439] IN: TIME:2127596
[2023-09-30 20:43:31.478571] IN: TEMP:23.187500
[2023-09-30 20:43:32.479315] IN: LEDTEMP:
[2023-09-30 20:43:32.479535] IN: TIME:3128596
[2023-09-30 20:43:32.479757] IN: TEMP:23.250000
[2023-09-30 20:43:33.480574] IN: LEDTEMP:
[2023-09-30 20:43:33.480811] IN: TIME:4129596
[2023-09-30 20:43:33.481037] IN: TEMP:23.250000
[2023-09-30 20:43:34.481520] IN: LEDTEMP:
[2023-09-30 20:43:34.481765] IN: TIME:5130596
[2023-09-30 20:43:34.482014] IN: TEMP:23.250000
[2023-09-30 20:43:35.482385] IN: LEDTEMP:
[2023-09-30 20:43:35.482520] IN: TIME:6131596
[2023-09-30 20:43:35.482635] IN: TEMP:23.250000
[2023-09-30 20:43:36.483457] IN: LEDTEMP:
[2023-09-30 20:43:36.483683] IN: TIME:7132596
[2023-09-30 20:43:36.483905] IN: TEMP:23.187500
[2023-09-30 20:43:37.484257] IN: LEDTEMP:
[2023-09-30 20:43:37.484370] IN: TIME:8133596
[2023-09-30 20:43:37.484476] IN: TEMP:23.250000
[2023-09-30 20:43:38.485222] IN: LEDTEMP:
[2023-09-30 20:43:38.485352] IN: TIME:9134596
[2023-09-30 20:43:38.485476] IN: TEMP:23.250000
[2023-09-30 20:43:39.351044] IN: [A] per [sun]: 1.000000
[2023-09-30 20:43:39.351167] IN: REQ_SCHED_CMD
[2023-09-30 20:43:39.351209] OUT: calibillum -illum 1.0 -i 1.0 -sched 10000000
[2023-09-30 20:43:39.363608] IN: calibillum -illum 1.0 -i 1.0 -sched 10000000
[2023-09-30 20:43:39.375029] IN: SCHED_OK
[2023-09-30 20:43:39.375173] OUT: setnumavg -n 2000 -sched 11000000
[2023-09-30 20:43:39.375292] IN: >>
[2023-09-30 20:43:39.391268] IN: [A] per [sun]: 1.000000
[2023-09-30 20:43:39.404723] IN: REQ_SCHED_CMD
[2023-09-30 20:43:39.418015] IN: setnumavg -n 2000 -sched 11000000
[2023-09-30 20:43:39.428412] IN: SCHED_OK
[2023-09-30 20:43:39.428523] OUT: setshunt -1x -sched 12000000
[2023-09-30 20:43:39.429485] IN: >> setshunt -1x -sched 12000000
[2023-09-30 20:43:39.440219] IN: SCHED_OK
[2023-09-30 20:43:39.440300] OUT: setforcevolt -v 0.0 -sched 13000000
[2023-09-30 20:43:39.441411] IN: >> setforcevolt -v 0.0 -sched 13000000
[2023-09-30 20:43:39.452517] IN: SCHED_OK
